number,roman
231,CCXXXI
232,CCXXXII
233,CCXXXIII
234,CCXXXIV
235,CCXXXV
236,CCXXXVI
237,CCXXXVII
238,CCXXXVIII
239,CCXXXIX
240,CCXL
241,CCXLI
242,CCXLII
243,CCXLIII
244,CCXLIV
245,CCXLV
246,CCXLVI
247,CCXLVII
248,CCXLVIII
249,CCXLIX
250,CCL
251,CCLI
252,CCLII
253,CCLIII
254,CCLIV
255,CCLV
256,CCLVI
257,CCLVII
258,CCLVIII
259,CCLIX
260,CCLX
261,CCLXI
262,CCLXII
263,CCLXIII
264,CCLXIV
265,CCLXV
266,CCLXVI
267,CCLXVII
268,CCLXVIII
269,CCLXIX
270,CCLXX
271,CCLXXI
272,CCLXXII
273,CCLXXIII
274,CCLXXIV
275,CCLXXV
276,CCLXXVI
277,CCLXXVII
278,CCLXXVIII
279,CCLXXIX
280,CCLXXX
281,CCLXXXI
282,CCLXXXII
283,CCLXXXIII
284,CCLXXXIV
285,CCLXXXV
286,CCLXXXVI
287,CCLXXXVII
288,CCLXXXVIII
289,CCLXXXIX
290,CCXC
291,CCXCI
292,CCXCII
293,CCXCIII
294,CCXCIV
295,CCXCV
296,CCXCVI
297,CCXCVII
298,CCXCVIII
299,CCXCIX
300,CCC
301,CCCI
302,CCCII
303,CCCIII
304,CCCIV
305,CCCV
306,CCCVI
307,CCCVII
308,CCCVIII
309,CCCIX
310,CCCX
311,CCCXI
312,CCCXII
313,CCCXIII
314,CCCXIV
315,CCCXV
316,CCCXVI
317,CCCXVII
318,CCCXVIII
319,CCCXIX
320,CCCXX
321,CCCXXI
322,CCCXXII
323,CCCXXIII
324,CCCXXIV
325,CCCXXV
326,CCCXXVI
327,CCCXXVII
328,CCCXXVIII
329,CCCXXIX
330,CCCXXX
331,CCCXXXI
332,CCCXXXII
333,CCCXXXIII
334,CCCXXXIV
335,CCCXXXV
336,CCCXXXVI
337,CCCXXXVII
338,CCCXXXVIII
339,CCCXXXIX
340,CCCXL
341,CCCXLI
342,CCCXLII
343,CCCXLIII
344,CCCXLIV
345,CCCXLV
346,CCCXLVI
347,CCCXLVII
348,CCCXLVIII
349,CCCXLIX
350,CCCL
351,CCCLI
352,CCCLII
353,CCCLIII
354,CCCLIV
355,CCCLV
356,CCCLVI
357,CCCLVII
358,CCCLVIII
359,CCCLIX
360,CCCLX
361,CCCLXI
362,CCCLXII
363,CCCLXIII
364,CCCLXIV
365,CCCLXV
366,CCCLXVI
367,CCCLXVII
368,CCCLXVIII
369,CCCLXIX
370,CCCLXX
371,CCCLXXI
372,CCCLXXII
373,CCCLXXIII
374,CCCLXXIV
375,CCCLXXV
376,CCCLXXVI
377,CCCLXXVII
378,CCCLXXVIII
379,CCCLXXIX
380,CCCLXXX
381,CCCLXXXI
382,CCCLXXXII
383,CCCLXXXIII
384,CCCLXXXIV
385,CCCLXXXV
386,CCCLXXXVI
387,CCCLXXXVII
388,CCCLXXXVIII
389,CCCLXXXIX
390,CCCXC
391,CCCXCI
392,CCCXCII
393,CCCXCIII
394,CCCXCIV
395,CCCXCV
396,CCCXCVI
397,CCCXCVII
398,CCCXCVIII
399,CCCXCIX
400,CD
401,CDI
402,CDII
403,CDIII
404,CDIV
405,CDV
406,CDVI
407,CDVII
408,CDVIII
409,CDIX
410,CDX
411,CDXI
412,CDXII
413,CDXIII
414,CDXIV
415,CDXV
416,CDXVI
417,CDXVII
418,CDXVIII
419,CDXIX
420,CDXX
421,CDXXI
422,CDXXII
423,CDXXIII
424,CDXXIV
425,CDXXV
426,CDXXVI
427,CDXXVII
428,CDXXVIII
429,CDXXIX
430,CDXXX
431,CDXXXI
432,CDXXXII
433,CDXXXIII
434,CDXXXIV
435,CDXXXV
436,CDXXXVI
437,CDXXXVII
438,CDXXXVIII
439,CDXXXIX
440,CDXL
441,CDXLI
442,CDXLII
443,CDXLIII
444,CDXLIV
445,CDXLV
446,CDXLVI
447,CDXLVII
448,CDXLVIII
449,CDXLIX
450,CDL
451,CDLI
452,CDLII
453,CDLIII
454,CDLIV
455,CDLV
456,CDLVI
457,CDLVII
458,CDLVIII
459,CDLIX
460,CDLX
461,CDLXI
462,CDLXII
463,CDLXIII
464,CDLXIV
465,CDLXV
466,CDLXVI
467,CDLXVII
468,CDLXVIII
469,CDLXIX
470,CDLXX
471,CDLXXI
472,CDLXXII
473,CDLXXIII
474,CDLXXIV
475,CDLXXV
476,CDLXXVI
477,CDLXXVII
478,CDLXXVIII
479,CDLXXIX
480,CDLXXX
481,CDLXXXI
482,CDLXXXII
483,CDLXXXIII
484,CDLXXXIV
485,CDLXXXV
486,CDLXXXVI
487,CDLXXXVII
488,CDLXXXVIII
489,CDLXXXIX
490,CDXC
491,CDXCI
492,CDXCII
493,CDXCIII
494,CDXCIV
495,CDXCV
496,CDXCVI
497,CDXCVII
498,CDXCVIII
499,CDXCIX
500,D
501,DI
502,DII
503,DIII
504,DIV
505,DV
506,DVI
507,DVII
508,DVIII
509,DIX
510,DX
511,DXI
512,DXII
513,DXIII
514,DXIV
515,DXV
516,DXVI
517,DXVII
518,DXVIII
519,DXIX
520,DXX
521,DXXI
522,DXXII
523,DXXIII
524,DXXIV
525,DXXV
526,DXXVI
527,DXXVII
528,DXXVIII
529,DXXIX
530,DXXX
531,DXXXI
532,DXXXII
533,DXXXIII
534,DXXXIV
535,DXXXV
536,DXXXVI
537,DXXXVII
538,DXXXVIII
539,DXXXIX
540,DXL
541,DXLI
542,DXLII
543,DXLIII
544,DXLIV
545,DXLV
546,DXLVI
547,DXLVII
548,DXLVIII
549,DXLIX
550,DL
551,DLI
552,DLII
553,DLIII
554,DLIV
555,DLV
556,DLVI
557,DLVII
558,DLVIII
559,DLIX
560,DLX
561,DLXI
562,DLXII
563,DLXIII
564,DLXIV
565,DLXV
566,DLXVI
567,DLXVII
568,DLXVIII
569,DLXIX
570,DLXX
571,DLXXI
572,DLXXII
573,DLXXIII
574,DLXXIV
575,DLXXV
576,DLXXVI
577,DLXXVII
578,DLXXVIII
579,DLXXIX
580,DLXXX
581,DLXXXI
582,DLXXXII
583,DLXXXIII
584,DLXXXIV
585,DLXXXV
586,DLXXXVI
587,DLXXXVII
588,DLXXXVIII
589,DLXXXIX
590,DXC
591,DXCI
592,DXCII
593,DXCIII
594,DXCIV
595,DXCV
596,DXCVI
597,DXCVII
598,DXCVIII
599,DXCIX
600,DC
601,DCI
602,DCII
603,DCIII
604,DCIV
605,DCV
606,DCVI
607,DCVII
608,DCVIII
609,DCIX
610,DCX
611,DCXI
612,DCXII
613,DCXIII
614,DCXIV
615,DCXV
616,DCXVI
617,DCXVII
618,DCXVIII
619,DCXIX
620,DCXX
621,DCXXI
622,DCXXII
623,DCXXIII
624,DCXXIV
625,DCXXV
626,DCXXVI
627,DCXXVII
628,DCXXVIII
629,DCXXIX
630,DCXXX
631,DCXXXI
632,DCXXXII
633,DCXXXIII
634,DCXXXIV
635,DCXXXV
636,DCXXXVI
637,DCXXXVII
638,DCXXXVIII
639,DCXXXIX
640,DCXL
641,DCXLI
642,DCXLII
643,DCXLIII
644,DCXLIV
645,DCXLV
646,DCXLVI
647,DCXLVII
648,DCXLVIII
649,DCXLIX
650,DCL
651,DCLI
652,DCLII
653,DCLIII
654,DCLIV
655,DCLV
656,DCLVI
657,DCLVII
658,DCLVIII
659,DCLIX
660,DCLX
661,DCLXI
662,DCLXII
663,DCLXIII
664,DCLXIV
665,DCLXV
666,DCLXVI
667,DCLXVII
668,DCLXVIII
669,DCLXIX
670,DCLXX
671,DCLXXI
672,DCLXXII
673,DCLXXIII
674,DCLXXIV
675,DCLXXV
676,DCLXXVI
677,DCLXXVII
678,DCLXXVIII
679,DCLXXIX
680,DCLXXX
681,DCLXXXI
682,DCLXXXII
683,DCLXXXIII
684,DCLXXXIV
685,DCLXXXV
686,DCLXXXVI
687,DCLXXXVII
688,DCLXXXVIII
689,DCLXXXIX
690,DCXC
691,DCXCI
692,DCXCII
693,DCXCIII
694,DCXCIV
695,DCXCV
696,DCXCVI
697,DCXCVII
698,DCXCVIII
699,DCXCIX
700,DCC
701,DCCI
702,DCCII
703,DCCIII
704,DCCIV
705,DCCV
706,DCCVI
707,DCCVII
708,DCCVIII
709,DCCIX
710,DCCX
711,DCCXI
712,DCCXII
713,DCCXIII
714,DCCXIV
715,DCCXV
716,DCCXVI
717,DCCXVII
718,DCCXVIII
719,DCCXIX
720,DCCXX
721,DCCXXI
722,DCCXXII
723,DCCXXIII
724,DCCXXIV
725,DCCXXV
726,DCCXXVI
727,DCCXXVII
728,DCCXXVIII
729,DCCXXIX
730,DCCXXX
731,DCCXXXI
732,DCCXXXII
733,DCCXXXIII
734,DCCXXXIV
735,DCCXXXV
736,DCCXXXVI
737,DCCXXXVII
738,DCCXXXVIII
739,DCCXXXIX
740,DCCXL
741,DCCXLI
742,DCCXLII
743,DCCXLIII
744,DCCXLIV
745,DCCXLV
746,DCCXLVI
747,DCCXLVII
748,DCCXLVIII
749,DCCXLIX
750,DCCL
751,DCCLI
752,DCCLII
753,DCCLIII
754,DCCLIV
755,DCCLV
756,DCCLVI
757,DCCLVII
758,DCCLVIII
759,DCCLIX
760,DCCLX
761,DCCLXI
762,DCCLXII
763,DCCLXIII
764,DCCLXIV
765,DCCLXV
766,DCCLXVI
767,DCCLXVII
768,DCCLXVIII
769,DCCLXIX
770,DCCLXX
771,DCCLXXI
772,DCCLXXII
773,DCCLXXIII
774,DCCLXXIV
775,DCCLXXV
776,DCCLXXVI
777,DCCLXXVII
778,DCCLXXVIII
779,DCCLXXIX
780,DCCLXXX
781,DCCLXXXI
782,DCCLXXXII
783,DCCLXXXIII
784,DCCLXXXIV
785,DCCLXXXV
786,DCCLXXXVI
787,DCCLXXXVII
788,DCCLXXXVIII
789,DCCLXXXIX
790,DCCXC
791,DCCXCI
792,DCCXCII
793,DCCXCIII
794,DCCXCIV
795,DCCXCV
796,DCCXCVI
797,DCCXCVII
798,DCCXCVIII
799,DCCXCIX
800,DCCC
801,DCCCI
802,DCCCII
803,DCCCIII
804,DCCCIV
805,DCCCV
806,DCCCVI
807,DCCCVII
808,DCCCVIII
809,DCCCIX
810,DCCCX
811,DCCCXI
812,DCCCXII
813,DCCCXIII
814,DCCCXIV
815,DCCCXV
816,DCCCXVI
817,DCCCXVII
818,DCCCXVIII
819,DCCCXIX
820,DCCCXX
821,DCCCXXI
822,DCCCXXII
823,DCCCXXIII
824,DCCCXXIV
825,DCCCXXV
826,DCCCXXVI
827,DCCCXXVII
828,DCCCXXVIII
829,DCCCXXIX
830,DCCCXXX
831,DCCCXXXI
832,DCCCXXXII
833,DCCCXXXIII
834,DCCCXXXIV
835,DCCCXXXV
836,DCCCXXXVI
837,DCCCXXXVII
838,DCCCXXXVIII
839,DCCCXXXIX
840,DCCCXL
841,DCCCXLI
842,DCCCXLII
843,DCCCXLIII
844,DCCCXLIV
845,DCCCXLV
846,DCCCXLVI
847,DCCCXLVII
848,DCCCXLVIII
849,DCCCXLIX
850,DCCCL
851,DCCCLI
852,DCCCLII
853,DCCCLIII
854,DCCCLIV
855,DCCCLV
856,DCCCLVI
857,DCCCLVII
858,DCCCLVIII
859,DCCCLIX
860,DCCCLX
861,DCCCLXI
862,DCCCLXII
863,DCCCLXIII
864,DCCCLXIV
865,DCCCLXV
866,DCCCLXVI
867,DCCCLXVII
868,DCCCLXVIII
869,DCCCLXIX
870,DCCCLXX
871,DCCCLXXI
872,DCCCLXXII
873,DCCCLXXIII
874,DCCCLXXIV
875,DCCCLXXV
876,DCCCLXXVI
877,DCCCLXXVII
878,DCCCLXXVIII
879,DCCCLXXIX
880,DCCCLXXX
881,DCCCLXXXI
882,DCCCLXXXII
883,DCCCLXXXIII
884,DCCCLXXXIV
885,DCCCLXXXV
886,DCCCLXXXVI
887,DCCCLXXXVII
888,DCCCLXXXVIII
889,DCCCLXXXIX
890,DCCCXC
891,DCCCXCI
892,DCCCXCII
893,DCCCXCIII
894,DCCCXCIV
895,DCCCXCV
896,DCCCXCVI
897,DCCCXCVII
898,DCCCXCVIII
899,DCCCXCIX
900,CM
901,CMI
902,CMII
903,CMIII
904,CMIV
905,CMV
906,CMVI
907,CMVII
908,CMVIII
909,CMIX
910,CMX
911,CMXI
912,CMXII
913,CMXIII
914,CMXIV
915,CMXV
916,CMXVI
917,CMXVII
918,CMXVIII
919,CMXIX
920,CMXX
921,CMXXI
922,CMXXII
923,CMXXIII
924,CMXXIV
925,CMXXV
926,CMXXVI
927,CMXXVII
928,CMXXVIII
929,CMXXIX
930,CMXXX
931,CMXXXI
932,CMXXXII
933,CMXXXIII
934,CMXXXIV
935,CMXXXV
936,CMXXXVI
937,CMXXXVII
938,CMXXXVIII
939,CMXXXIX
940,CMXL
941,CMXLI
942,CMXLII
943,CMXLIII
944,CMXLIV
945,CMXLV
946,CMXLVI
947,CMXLVII
948,CMXLVIII
949,CMXLIX
950,CML
951,CMLI
952,CMLII
953,CMLIII
954,CMLIV
955,CMLV
956,CMLVI
957,CMLVII
958,CMLVIII
959,CMLIX
960,CMLX
961,CMLXI
962,CMLXII
963,CMLXIII
964,CMLXIV
965,CMLXV
966,CMLXVI
967,CMLXVII
968,CMLXVIII
969,CMLXIX
970,CMLXX
971,CMLXXI
972,CMLXXII
973,CMLXXIII
974,CMLXXIV
975,CMLXXV
976,CMLXXVI
977,CMLXXVII
978,CMLXXVIII
979,CMLXXIX
980,CMLXXX
981,CMLXXXI
982,CMLXXXII
983,CMLXXXIII
984,CMLXXXIV
985,CMLXXXV
986,CMLXXXVI
987,CMLXXXVII
988,CMLXXXVIII
989,CMLXXXIX
990,CMXC
991,CMXCI
992,CMXCII
993,CMXCIII
994,CMXCIV
995,CMXCV
996,CMXCVI
997,CMXCVII
998,CMXCVIII
999,CMXCIX
1000,M
1001,MI
1002,MII
1003,MIII
1004,MIV
1005,MV
1006,MVI
1007,MVII
1008,MVIII
1009,MIX
1010,MX
1011,MXI
1012,MXII
1013,MXIII
1014,MXIV
1015,MXV
1016,MXVI
1017,MXVII
1018,MXVIII
1019,MXIX
1020,MXX
1021,MXXI
1022,MXXII
1023,MXXIII
1024,MXXIV
1025,MXXV
1026,MXXVI
1027,MXXVII
1028,MXXVIII
1029,MXXIX
1030,MXXX
1031,MXXXI
1032,MXXXII
1033,MXXXIII
1034,MXXXIV
1035,MXXXV
1036,MXXXVI
1037,MXXXVII
1038,MXXXVIII
1039,MXXXIX
1040,MXL
1041,MXLI
1042,MXLII
1043,MXLIII
1044,MXLIV
1045,MXLV
1046,MXLVI
1047,MXLVII
1048,MXLVIII
1049,MXLIX
1050,ML
1051,MLI
1052,MLII
1053,MLIII
1054,MLIV
1055,MLV
1056,MLVI
1057,MLVII
1058,MLVIII
1059,MLIX
1060,MLX
1061,MLXI
1062,MLXII
1063,MLXIII
1064,MLXIV
1065,MLXV
1066,MLXVI
1067,MLXVII
1068,MLXVIII
1069,MLXIX
1070,MLXX
1071,MLXXI
1072,MLXXII
1073,MLXXIII
1074,MLXXIV
1075,MLXXV
1076,MLXXVI
1077,MLXXVII
1078,MLXXVIII
1079,MLXXIX
1080,MLXXX
1081,MLXXXI
1082,MLXXXII
1083,MLXXXIII
1084,MLXXXIV
1085,MLXXXV
1086,MLXXXVI
1087,MLXXXVII
1088,MLXXXVIII
1089,MLXXXIX
1090,MXC
1091,MXCI
1092,MXCII
1093,MXCIII
1094,MXCIV
1095,MXCV
1096,MXCVI
1097,MXCVII
1098,MXCVIII
1099,MXCIX
1100,MC
1101,MCI
1102,MCII
1103,MCIII
1104,MCIV
1105,MCV
1106,MCVI
1107,MCVII
1108,MCVIII
1109,MCIX
1110,MCX
1111,MCXI
1112,MCXII
1113,MCXIII
1114,MCXIV
1115,MCXV
1116,MCXVI
1117,MCXVII
1118,MCXVIII
1119,MCXIX
1120,MCXX
1121,MCXXI
1122,MCXXII
1123,MCXXIII
1124,MCXXIV
1125,MCXXV
1126,MCXXVI
1127,MCXXVII
1128,MCXXVIII
1129,MCXXIX
1130,MCXXX
1131,MCXXXI
1132,MCXXXII
1133,MCXXXIII
1134,MCXXXIV
1135,MCXXXV
1136,MCXXXVI
1137,MCXXXVII
1138,MCXXXVIII
1139,MCXXXIX
1140,MCXL
1141,MCXLI
1142,MCXLII
1143,MCXLIII
1144,MCXLIV
1145,MCXLV
1146,MCXLVI
1147,MCXLVII
1148,MCXLVIII
1149,MCXLIX
1150,MCL
1151,MCLI
1152,MCLII
1153,MCLIII
1154,MCLIV
1155,MCLV
1156,MCLVI
1157,MCLVII
1158,MCLVIII
1159,MCLIX
1160,MCLX
1161,MCLXI
1162,MCLXII
1163,MCLXIII
1164,MCLXIV
1165,MCLXV
1166,MCLXVI
1167,MCLXVII
1168,MCLXVIII
1169,MCLXIX
1170,MCLXX
1171,MCLXXI
1172,MCLXXII
1173,MCLXXIII
1174,MCLXXIV
1175,MCLXXV
1176,MCLXXVI
1177,MCLXXVII
1178,MCLXXVIII
1179,MCLXXIX
1180,MCLXXX
1181,MCLXXXI
1182,MCLXXXII
1183,MCLXXXIII
1184,MCLXXXIV
1185,MCLXXXV
1186,MCLXXXVI
1187,MCLXXXVII
1188,MCLXXXVIII
1189,MCLXXXIX
1190,MCXC
1191,MCXCI
1192,MCXCII
1193,MCXCIII
1194,MCXCIV
1195,MCXCV
1196,MCXCVI
1197,MCXCVII
1198,MCXCVIII
1199,MCXCIX
1200,MCC
1201,MCCI
1202,MCCII
1203,MCCIII
1204,MCCIV
1205,MCCV
1206,MCCVI
1207,MCCVII
1208,MCCVIII
1209,MCCIX
1210,MCCX
1211,MCCXI
1212,MCCXII
1213,MCCXIII
1214,MCCXIV
1215,MCCXV
1216,MCCXVI
1217,MCCXVII
1218,MCCXVIII
1219,MCCXIX
1220,MCCXX
1221,MCCXXI
1222,MCCXXII
1223,MCCXXIII
1224,MCCXXIV
1225,MCCXXV
1226,MCCXXVI
1227,MCCXXVII
1228,MCCXXVIII
1229,MCCXXIX
1230,MCCXXX
1231,MCCXXXI
1232,MCCXXXII
1233,MCCXXXIII
1234,MCCXXXIV
1235,MCCXXXV
1236,MCCXXXVI
1237,MCCXXXVII
1238,MCCXXXVIII
1239,MCCXXXIX
1240,MCCXL
1241,MCCXLI
1242,MCCXLII
1243,MCCXLIII
1244,MCCXLIV
1245,MCCXLV
1246,MCCXLVI
1247,MCCXLVII
1248,MCCXLVIII
1249,MCCXLIX
1250,MCCL
1251,MCCLI
1252,MCCLII
1253,MCCLIII
1254,MCCLIV
1255,MCCLV
1256,MCCLVI
1257,MCCLVII
1258,MCCLVIII
1259,MCCLIX
1260,MCCLX
1261,MCCLXI
1262,MCCLXII
1263,MCCLXIII
1264,MCCLXIV
1265,MCCLXV
1266,MCCLXVI
1267,MCCLXVII
1268,MCCLXVIII
1269,MCCLXIX
1270,MCCLXX
1271,MCCLXXI
1272,MCCLXXII
1273,MCCLXXIII
1274,MCCLXXIV
1275,MCCLXXV
1276,MCCLXXVI
1277,MCCLXXVII
1278,MCCLXXVIII
1279,MCCLXXIX
1280,MCCLXXX
1281,MCCLXXXI
1282,MCCLXXXII
1283,MCCLXXXIII
1284,MCCLXXXIV
1285,MCCLXXXV
1286,MCCLXXXVI
1287,MCCLXXXVII
1288,MCCLXXXVIII
1289,MCCLXXXIX
1290,MCCXC
1291,MCCXCI
1292,MCCXCII
1293,MCCXCIII
1294,MCCXCIV
1295,MCCXCV
1296,MCCXCVI
1297,MCCXCVII
1298,MCCXCVIII
1299,MCCXCIX
1300,MCCC
1301,MCCCI
1302,MCCCII
1303,MCCCIII
1304,MCCCIV
1305,MCCCV
1306,MCCCVI
1307,MCCCVII
1308,MCCCVIII
1309,MCCCIX
1310,MCCCX
1311,MCCCXI
1312,MCCCXII
1313,MCCCXIII
1314,MCCCXIV
1315,MCCCXV
1316,MCCCXVI
1317,MCCCXVII
1318,MCCCXVIII
1319,MCCCXIX
1320,MCCCXX
1321,MCCCXXI
1322,MCCCXXII
1323,MCCCXXIII
1324,MCCCXXIV
1325,MCCCXXV
1326,MCCCXXVI
1327,MCCCXXVII
1328,MCCCXXVIII
1329,MCCCXXIX
1330,MCCCXXX
1331,MCCCXXXI
1332,MCCCXXXII
1333,MCCCXXXIII
1334,MCCCXXXIV
1335,MCCCXXXV
1336,MCCCXXXVI
1337,MCCCXXXVII
1338,MCCCXXXVIII
1339,MCCCXXXIX
1340,MCCCXL
1341,MCCCXLI
1342,MCCCXLII
1343,MCCCXLIII
1344,MCCCXLIV
1345,MCCCXLV
1346,MCCCXLVI
1347,MCCCXLVII
1348,MCCCXLVIII
1349,MCCCXLIX
1350,MCCCL
1351,MCCCLI
1352,MCCCLII
1353,MCCCLIII
1354,MCCCLIV
1355,MCCCLV
1356,MCCCLVI
1357,MCCCLVII
1358,MCCCLVIII
1359,MCCCLIX
1360,MCCCLX
1361,MCCCLXI
1362,MCCCLXII
1363,MCCCLXIII
1364,MCCCLXIV
1365,MCCCLXV
1366,MCCCLXVI
1367,MCCCLXVII
1368,MCCCLXVIII
1369,MCCCLXIX
1370,MCCCLXX
1371,MCCCLXXI
1372,MCCCLXXII
1373,MCCCLXXIII
1374,MCCCLXXIV
1375,MCCCLXXV
1376,MCCCLXXVI
1377,MCCCLXXVII
1378,MCCCLXXVIII
1379,MCCCLXXIX
1380,MCCCLXXX
1381,MCCCLXXXI
1382,MCCCLXXXII
1383,MCCCLXXXIII
1384,MCCCLXXXIV
1385,MCCCLXXXV
1386,MCCCLXXXVI
1387,MCCCLXXXVII
1388,MCCCLXXXVIII
1389,MCCCLXXXIX
1390,MCCCXC
1391,MCCCXCI
1392,MCCCXCII
1393,MCCCXCIII
1394,MCCCXCIV
1395,MCCCXCV
1396,MCCCXCVI
1397,MCCCXCVII
1398,MCCCXCVIII
1399,MCCCXCIX
1400,MCD
1401,MCDI
1402,MCDII
1403,MCDIII
1404,MCDIV
1405,MCDV
1406,MCDVI
1407,MCDVII
1408,MCDVIII
1409,MCDIX
1410,MCDX
1411,MCDXI
1412,MCDXII
1413,MCDXIII
1414,MCDXIV
1415,MCDXV
1416,MCDXVI
1417,MCDXVII
1418,MCDXVIII
1419,MCDXIX
1420,MCDXX
1421,MCDXXI
1422,MCDXXII
1423,MCDXXIII
1424,MCDXXIV
1425,MCDXXV
1426,MCDXXVI
1427,MCDXXVII
1428,MCDXXVIII
1429,MCDXXIX
1430,MCDXXX
1431,MCDXXXI
1432,MCDXXXII
1433,MCDXXXIII
1434,MCDXXXIV
1435,MCDXXXV
1436,MCDXXXVI
1437,MCDXXXVII
1438,MCDXXXVIII
1439,MCDXXXIX
1440,MCDXL
1441,MCDXLI
1442,MCDXLII
1443,MCDXLIII
1444,MCDXLIV
1445,MCDXLV
1446,MCDXLVI
1447,MCDXLVII
1448,MCDXLVIII
1449,MCDXLIX
1450,MCDL
1451,MCDLI
1452,MCDLII
1453,MCDLIII
1454,MCDLIV
1455,MCDLV
1456,MCDLVI
1457,MCDLVII
1458,MCDLVIII
1459,MCDLIX
1460,MCDLX
1461,MCDLXI
1462,MCDLXII
1463,MCDLXIII
1464,MCDLXIV
1465,MCDLXV
1466,MCDLXVI
1467,MCDLXVII
1468,MCDLXVIII
1469,MCDLXIX
1470,MCDLXX
1471,MCDLXXI
1472,MCDLXXII
1473,MCDLXXIII
1474,MCDLXXIV
1475,MCDLXXV
1476,MCDLXXVI
1477,MCDLXXVII
1478,MCDLXXVIII
1479,MCDLXXIX
1480,MCDLXXX
1481,MCDLXXXI
1482,MCDLXXXII
1483,MCDLXXXIII
1484,MCDLXXXIV
1485,MCDLXXXV
1486,MCDLXXXVI
1487,MCDLXXXVII
1488,MCDLXXXVIII
1489,MCDLXXXIX
1490,MCDXC
1491,MCDXCI
1492,MCDXCII
1493,MCDXCIII
1494,MCDXCIV
1495,MCDXCV
1496,MCDXCVI
1497,MCDXCVII
1498,MCDXCVIII
1499,MCDXCIX
1500,MD
1501,MDI
1502,MDII
1503,MDIII
1504,MDIV
1505,MDV
1506,MDVI
1507,MDVII
1508,MDVIII
1509,MDIX
1510,MDX
1511,MDXI
1512,MDXII
1513,MDXIII
1514,MDXIV
1515,MDXV
1516,MDXVI
1517,MDXVII
1518,MDXVIII
1519,MDXIX
1520,MDXX
1521,MDXXI
1522,MDXXII
1523,MDXXIII
1524,MDXXIV
1525,MDXXV
1526,MDXXVI
1527,MDXXVII
1528,MDXXVIII
1529,MDXXIX
1530,MDXXX
1531,MDXXXI
1532,MDXXXII
